iter	Logloss
0	0.641232775
1	0.596723098
2	0.5512250663
3	0.5254327151
4	0.4924546971
5	0.4678231813
6	0.4504316059
7	0.4328962371
8	0.4150673832
9	0.4001018442
10	0.3886842555
11	0.3734222311
12	0.3630454496
13	0.3523434013
14	0.3390425176
15	0.3328770286
16	0.3265946251
17	0.3189152062
18	0.3147039175
19	0.3092481057
20	0.3024681176
21	0.2976371574
22	0.2940333091
23	0.2891506332
24	0.2848028293
25	0.281582176
26	0.2784197203
27	0.2756817775
28	0.2725702805
29	0.2695410031
30	0.2659587224
31	0.2636298314
32	0.2606920427
33	0.258490611
34	0.2568040201
35	0.2554064011
36	0.2527930264
37	0.2512475906
38	0.2486597145
39	0.2471887296
40	0.2454280943
41	0.2444309777
42	0.2432737844
43	0.2417994799
44	0.2413666103
45	0.2396775785
46	0.2381401693
47	0.237329056
48	0.2364273641
49	0.2350063341
50	0.2330948049
51	0.231827931
52	0.2304520407
53	0.2298730461
54	0.2291357245
55	0.2281645446
56	0.2273030047
57	0.2269529946
58	0.2263859644
59	0.2257037093
60	0.2251288177
61	0.2246649112
62	0.2240137632
63	0.2228858406
64	0.2222820461
65	0.2216804906
66	0.2207237379
67	0.2197738168
68	0.2193187543
69	0.2185215174
70	0.218204815
71	0.2174516684
72	0.2170865168
73	0.2159682506
74	0.2149713229
75	0.214579666
76	0.2130624728
77	0.2126601653
78	0.2122253716
79	0.2117774247
80	0.2115384647
81	0.2112000722
82	0.2107358194
83	0.2103666203
84	0.2098786211
85	0.2088520955
86	0.2087091995
87	0.2081626953
88	0.2075905786
89	0.2068921611
90	0.2061806092
91	0.2059462397
92	0.2054824526
93	0.2045718407
94	0.204228134
95	0.2041810709
96	0.2037592424
97	0.2032234541
98	0.202570094
99	0.2019804461
100	0.2016959308
101	0.2009206009
102	0.1997842059
103	0.1996621768
104	0.1993424956
105	0.1986212968
106	0.1983410418
107	0.1974923015
108	0.1973576376
109	0.1971024636
110	0.1964598163
111	0.1963397162
112	0.1955947907
113	0.195360557
114	0.1948665313
115	0.1944841759
116	0.1939884361
117	0.1928773575
118	0.1926544234
119	0.1917974521
120	0.1913467567
121	0.1904317385
122	0.1898179156
123	0.1896438573
124	0.1888325694
125	0.1877626644
126	0.1871889244
127	0.1868603487
128	0.1861174612
129	0.1855431318
130	0.1843899694
131	0.1842327451
132	0.1840719485
133	0.18357099
134	0.1828735089
135	0.1824885874
136	0.1816430716
137	0.1814055728
138	0.181116111
139	0.1810295987
140	0.180573862
141	0.18030116
142	0.1799611581
143	0.1796943677
144	0.1791381597
145	0.1786126439
146	0.1783561125
147	0.1782699219
148	0.178016847
149	0.1778776517
150	0.1774525711
151	0.1770789216
152	0.1769904063
153	0.1768100379
154	0.1766720058
155	0.176425026
156	0.1751493843
157	0.1745314419
158	0.1740754438
159	0.1740320791
160	0.1737015961
161	0.173440582
162	0.1730173201
163	0.1726577799
164	0.1723410856
165	0.1720754722
166	0.1719249236
167	0.1710191513
168	0.1709074699
169	0.1707501029
170	0.1703230662
171	0.1699278982
172	0.1698017376
173	0.1695640603
174	0.1694229195
175	0.1692149765
176	0.1685358247
177	0.168235315
178	0.1680523779
179	0.1679155123
180	0.1678182158
181	0.1676465109
182	0.1674210397
183	0.1674038095
184	0.1671783689
185	0.1670223535
186	0.166704698
187	0.166201449
188	0.165139115
189	0.1649446775
190	0.1645639888
191	0.1640205457
192	0.1632960239
193	0.1628318905
194	0.162490974
195	0.1621874057
196	0.1619087232
197	0.1612225198
198	0.1611994185
199	0.1611507124
200	0.1602365818
201	0.1598570587
202	0.1597433566
203	0.1586571311
204	0.1585667957
205	0.1585083957
206	0.1582821578
207	0.1581776196
208	0.1578978338
209	0.1577064742
210	0.1573133794
211	0.1567580049
212	0.1561548942
213	0.1555204468
214	0.155164906
215	0.1544541066
216	0.1541529616
217	0.1537547758
218	0.1531661212
219	0.1530041015
220	0.1525821116
221	0.1522864418
222	0.1517720893
223	0.1512443049
224	0.150643153
225	0.1502845949
226	0.1501480295
227	0.1499433774
228	0.1494597084
229	0.1492658997
230	0.1488661844
231	0.1481540243
232	0.1477514961
233	0.147433193
234	0.1469104159
235	0.1462784006
236	0.1462281677
237	0.1457891528
238	0.1454816928
239	0.1453876812
240	0.1450710567
241	0.1447580296
242	0.1444067403
243	0.144192666
244	0.1434104737
245	0.143238174
246	0.1428850375
247	0.1423610066
248	0.1421594252
249	0.1418829272
250	0.1413539743
251	0.1411905105
252	0.1409300262
253	0.1407609105
254	0.1402386631
255	0.1398418995
256	0.1394678671
257	0.1394402997
258	0.1391706016
259	0.1389575226
260	0.1389493834
261	0.1386882215
262	0.1386251758
263	0.1385581774
264	0.1383422934
265	0.1380378771
266	0.1376598657
267	0.1375055841
268	0.1373129971
269	0.1371040351
270	0.1369163652
271	0.1368904191
272	0.1368817402
273	0.1366080118
274	0.1364529613
275	0.1358047649
276	0.1356445183
277	0.1352487564
278	0.1350455629
279	0.134945276
280	0.1347674469
281	0.1345084277
282	0.1341784031
283	0.1335365224
284	0.13328683
285	0.133005771
286	0.1328032937
287	0.1326312326
288	0.132391876
289	0.1323503723
290	0.1321941324
291	0.1320854388
292	0.1316003677
293	0.1314783933
294	0.1309699907
295	0.1308030856
296	0.1304907133
297	0.1303257351
298	0.1300742035
299	0.1299090623
